package_name,package_uuid
AbstractTensors,a8e43f4a-99b7-5565-8bf1-0165161caaea
AbstractTrees,1520ce14-60c1-5f80-bbc7-55ef81b5835c
AbstractWallets,5f0830d6-faab-11e9-0c1a-a5525342cc9a
AbstractXsdTypes,1d4aff4b-e088-40cb-b713-ffe4caf1580b
AbstractYieldMacros,71802903-5811-4e1f-b8e7-37bd234b68eb
Absynth,198fb612-3ccb-11e9-3f7d-cd8c0d4e7bc8
AccelInterfaces,0fc7c93f-c1ed-4c30-8474-1cec40f2ca52
AcceleratedArrays,44e12807-9a19-5591-91cf-c1b4fb89ce64
AcceleratedKernels,6a4ca0a5-0e36-4168-a932-d9be78d558f1
AcceleratorLattice,118f53b2-f4ec-480a-a460-1a04f660b17d
AcceleratorSimUtils,8b14b3b2-39c5-4be4-bdc0-0b322e577224
AccerionSensorAPI_jll,df519f1b-be81-5d76-8634-ded01372dc30
AccessibleOptimization,d88a00a0-4a21-4fe4-a515-e2123c37b885
Accessors,7d9f7c33-5ae7-4f3b-8dc6-eff91059b697
AccessorsExtra,33016aad-b69d-45be-9359-82a41f556fd4
AccurateArithmetic,22286c92-06ac-501d-9306-4abd417d9753
AcousticAnalogies,e71b3392-1e0c-4536-b366-2bd1fce6fba0
AcousticFeatures,6a458947-61d4-43a6-b30c-4a7a83d249ad
AcousticMetrics,046f749b-9c1e-43ca-86bc-6902340f753e
AcousticRayTracers,4fc4fbda-03ee-4929-b565-b3d9b12bdf79
AcousticsToolbox,268a15bc-5756-47d6-9bea-fa5dc21c97f8
AcousticsToolbox_jll,6380ca6f-c335-511c-b45e-8a1ed8902ca7
Acquisition,d4bbf60b-102b-5ffb-8f97-a7ea5817e69f
ActinFriction,6c004e30-2d62-4b0c-a9dc-5f2a1b1306a8
ActinRingsMC,9ef53a5f-0b2d-4acd-b164-e3995a0d2389
ActionModels,320cf53b-cc3b-4b34-9a10-0ecb113566a3
ActiveInference,688b0e7a-0122-4325-8669-5ff08899a59e
ActiveMeshStabilization,fefe8353-c905-4f2f-8060-882b8f079c8e
ActiveSetPursuit,d86c1dc8-ba26-4c98-b330-3a8efc174d20
ActorInterfaces,7e194583-e687-41a0-9133-1c22a29c80af
ActorInterfacesTests,bf64f69c-3949-4e90-aa8d-30c3e4cdf50d
Actors,18269d71-cc38-4e02-b8c8-1db30113a6dd
ActuarialScience,511708b7-8d90-5a63-9f8b-8993ab87fa77
ActuaryUtilities,bdd23359-8b1c-4f88-b89b-d11982a786f4
AcuteBenchmark,8f64fb4b-d933-4fa5-a855-09390d771cf3
AcuteML,6b84a0a3-a11a-41fa-a417-e600528de108
AdFem,c10abcb9-3e37-4bfe-9bab-99a3bc662411
AdaOPS,eadfb9d8-44f1-454c-a5eb-0663ee7d74a1
AdaStress,f8632b6a-8763-4da0-bfaf-5f7707adef25
AdalmPluto,af34ca7c-e544-47d5-a6fe-72495f08728e
